"","from","to","weight"
"233","vir_ASV_135","ASV_41",-0.153386815587178
"234","vir_ASV_135","ASV_88",-0.00513149447113695
"235","vir_ASV_135","ASV_200",0.0916462495387365
"236","vir_ASV_135","ASV_318",-0.0339994229474216
"237","vir_ASV_135","ASV_764",-0.0555257012917189
"238","vir_ASV_137","ASV_633",0.064854193302321
"239","vir_ASV_137","ASV_964",0.0127699388112711
"240","vir_ASV_138","ASV_41",-0.005396652622982
"241","vir_ASV_138","ASV_42",0.0603286362739703
"242","vir_ASV_138","ASV_186",0.00925716051473127
"243","vir_ASV_138","ASV_697",-0.00120091997895061
"244","vir_ASV_139","ASV_434",-0.138676954682035
"245","vir_ASV_139","ASV_1030",0.0127057178455961
"246","vir_ASV_140","ASV_434",0.040680863481707
"247","vir_ASV_141","ASV_50",0.0353164050627245
"248","vir_ASV_141","ASV_88",-0.0210945904485569
"249","vir_ASV_142","ASV_198",0.0288109387046726
"250","vir_ASV_144","ASV_308",0.0220002522728236
"251","vir_ASV_144","ASV_677",0.00148709979611347
"252","vir_ASV_146","ASV_50",0.0545583723326568
"253","vir_ASV_146","ASV_70",0.0112166593190859
"254","vir_ASV_146","ASV_615",0.128300813416041
"255","vir_ASV_146","ASV_683",0.181606424259385
"256","vir_ASV_147","ASV_55",0.000693564533146646
"257","vir_ASV_147","ASV_838",0.0607046005359959
"258","vir_ASV_148","ASV_838",0.0348726125904129
"259","vir_ASV_149","ASV_18",0.100332020184766
"260","vir_ASV_149","ASV_463",-0.00305744674329045
"261","vir_ASV_149","ASV_683",0.0178944453752809
"262","vir_ASV_150","ASV_323",-0.00438343791076784
"263","vir_ASV_151","ASV_198",-0.046978842004288
"264","vir_ASV_151","ASV_1165",0.00153895254831024
"265","vir_ASV_151","ASV_1321",0.0546690282699882
"266","vir_ASV_153","ASV_771",-0.0408861955471384
"267","vir_ASV_156","ASV_37",-0.112497745977449
"268","vir_ASV_157","ASV_259",-0.00791015766893841
"269","vir_ASV_157","ASV_360",0.0124107321745676
"270","vir_ASV_157","ASV_373",0.164001576243693
"271","vir_ASV_157","ASV_766",-0.0257747765914195
"272","vir_ASV_159","ASV_407",0.0155687796747072
"273","vir_ASV_159","ASV_1043",0.0475309336473277
"274","vir_ASV_160","ASV_7",0.00396736639751616
"275","vir_ASV_160","ASV_10",0.00369133619210116
"276","vir_ASV_160","ASV_89",-0.00153053108444126
"277","vir_ASV_160","ASV_113",0.0452003111190858
"278","vir_ASV_160","ASV_129",0.00774639679192826
"279","vir_ASV_160","ASV_740",0.0429039604407515
"280","vir_ASV_163","ASV_227",0.00917788997803112
"281","vir_ASV_163","ASV_1675",0.0317809846098965
"282","vir_ASV_164","ASV_219",-0.0154339983206363
"283","vir_ASV_165","ASV_838",0.0642636345150875
"284","vir_ASV_165","ASV_974",0.0283411337100527
"285","vir_ASV_166","ASV_566",0.00764485113004923
"286","vir_ASV_167","ASV_625",-0.108455878385981
"287","vir_ASV_168","ASV_356",0.0332781150130749
"288","vir_ASV_168","ASV_1675",0.0225986694993422
"289","vir_ASV_171","ASV_20",0.0299725430150238
"290","vir_ASV_172","ASV_130",0.00748925835938366
"291","vir_ASV_172","ASV_360",0.0122453529606386
"292","vir_ASV_172","ASV_1675",-0.0206448763419272
"293","vir_ASV_173","ASV_8",0.0274819593658443
"294","vir_ASV_173","ASV_131",0.00612861406013365
"295","vir_ASV_174","ASV_85",0.00590298099475067
"296","vir_ASV_174","ASV_135",-0.0174898948464264
"297","vir_ASV_174","ASV_1651",0.0288740757345418
"298","vir_ASV_175","ASV_530",-0.0736180016240368
"299","vir_ASV_176","ASV_615",0.0447566111430122
"300","vir_ASV_177","ASV_308",0.0522984604380337
"301","vir_ASV_179","ASV_16",-0.0144565102848441
"302","vir_ASV_179","ASV_27",0.133198519056258
"303","vir_ASV_180","ASV_85",0.0845704888796129
"304","vir_ASV_181","ASV_10",0.113100808968557
"305","vir_ASV_181","ASV_1043",-0.0677491748404999
"306","vir_ASV_183","ASV_735",0.0110799632583061
"307","vir_ASV_183","ASV_1061",0.0379670264962328
"308","vir_ASV_184","ASV_643",0.0143218677920319
"309","vir_ASV_184","ASV_1675",0.0190838649505524
"310","vir_ASV_185","ASV_838",0.0319629776050687
"311","vir_ASV_185","ASV_1061",0.108360198981427
"312","vir_ASV_187","ASV_135",0.154823003530807
"313","vir_ASV_187","ASV_144",0.251789029420984
"314","vir_ASV_187","ASV_619",0.0172905022296587
"315","vir_ASV_188","ASV_885",0.0032535728556993
"316","vir_ASV_189","ASV_373",0.00434721777374597
"317","vir_ASV_189","ASV_417",-0.00319182651070551
"318","vir_ASV_190","ASV_50",0.0391367064604031
"319","vir_ASV_191","ASV_1030",0.0145828476316593
"320","vir_ASV_192","ASV_1043",0.0301722693711334
"321","vir_ASV_194","ASV_171",0.0059546258733717
"322","vir_ASV_194","ASV_434",0.00960140498933776
"323","vir_ASV_194","ASV_1030",-0.00130593761460046
"324","vir_ASV_195","ASV_1924",0.0258489314327114
"325","vir_ASV_196","ASV_85",0.0234273015841648
"326","vir_ASV_196","ASV_88",0.00943172384767166
"327","vir_ASV_196","ASV_244",-0.00948928800853335
"328","vir_ASV_196","ASV_417",-0.0498018272447521
"329","vir_ASV_197","ASV_434",-0.133385700758961
"330","vir_ASV_197","ASV_735",0.132785391832193
"331","vir_ASV_200","ASV_7",-0.0214383656038363
"332","vir_ASV_200","ASV_260",0.00419415232872641
"333","vir_ASV_200","ASV_1043",0.01932784878978
"334","vir_ASV_201","ASV_260",0.0957609624644242
"335","vir_ASV_201","ASV_358",0.00893720849679511
"336","vir_ASV_201","ASV_1061",0.00545463542861432
"337","vir_ASV_202","ASV_20",0.0328812858897063
"338","vir_ASV_202","ASV_259",0.00926083687365756
"339","vir_ASV_204","ASV_42",0.00344039782139319
"340","vir_ASV_204","ASV_643",0.0434279199639974
"341","vir_ASV_205","ASV_1310",0.0721540210699216
