vir_A,vir_B,distance,cov
ASV_655,ASV_705,0.3220338983050847,0.0673040174575086
ASV_41,ASV_655,0.2966101694915254,0.0657495475682293
ASV_768,ASV_819,0.3813559322033898,0.108096912491813
ASV_768,ASV_903,0.3050847457627119,-0.0122899484821812
ASV_341,ASV_768,0.3559322033898305,-0.00696237791747717
ASV_283,ASV_768,0.3644067796610169,0.0831822345236673
ASV_34,ASV_768,0.788135593220339,-0.157100784135306
ASV_1079,ASV_768,0.3644067796610169,0.107207313731788
ASV_420,ASV_768,0.3305084745762712,-0.0446898639773121
ASV_768,ASV_90,0.3389830508474576,-0.0593817366711024
ASV_544,ASV_768,0.3474576271186441,0.0358114840796366
ASV_302,ASV_768,0.2966101694915254,0.0155150061866281
ASV_554,ASV_768,0.3389830508474576,0.0171014686944628
ASV_586,ASV_768,0.2966101694915254,0.0132808396581715
ASV_173,ASV_768,0.3305084745762712,0.0733230791001523
ASV_193,ASV_768,0.3305084745762712,0.105588126437664
ASV_290,ASV_768,0.3135593220338983,0.0850284395219894
ASV_768,ASV_97,0.3389830508474576,0.152128616174967
ASV_671,ASV_768,0.3220338983050847,0.244600535088015
ASV_298,ASV_768,0.4322033898305085,0.0287594093668688
ASV_599,ASV_768,0.4067796610169492,0.145399619567083
ASV_258,ASV_768,0.423728813559322,0.0666497586470192
ASV_724,ASV_768,0.3559322033898305,0.0251884824341713
ASV_310,ASV_768,0.3474576271186441,-0.0253873316647461
ASV_72,ASV_768,0.4152542372881356,0.00463243564440391
ASV_611,ASV_768,0.3389830508474576,-0.0443589526059402
ASV_153,ASV_768,0.288135593220339,-0.0201024251717031
ASV_640,ASV_768,0.3813559322033898,-0.00343613634726633
ASV_647,ASV_694,0.3389830508474576,-0.0462446481380457
ASV_694,ASV_810,0.3728813559322034,-0.00563523014552589
ASV_467,ASV_694,0.3644067796610169,0.0222627518238375
ASV_415,ASV_694,0.3728813559322034,0.0981830605987858
ASV_466,ASV_694,0.3728813559322034,0.052426739124648
ASV_121,ASV_694,0.3559322033898305,0.177556795259284
ASV_482,ASV_694,0.3813559322033898,0.206247332558604
ASV_504,ASV_694,0.3813559322033898,0.166361393393337
ASV_15,ASV_694,0.3813559322033898,0.0939729913595346
ASV_694,ASV_703,0.423728813559322,0.129862034406029
ASV_313,ASV_694,0.3983050847457627,-0.0510831523110607
ASV_129,ASV_694,0.3644067796610169,0.0132946657199676
ASV_275,ASV_694,0.3305084745762712,0.0528222952530262
ASV_625,ASV_694,0.3135593220338983,0.0092541221541721
ASV_539,ASV_694,0.3644067796610169,0.137805522406884
ASV_411,ASV_694,0.4067796610169492,0.0110007646822348
ASV_694,ASV_920,0.423728813559322,0.0358835325706192
ASV_274,ASV_694,0.3135593220338983,0.0317985369251184
ASV_180,ASV_270,0.03389830508474576,0.07469154536992
ASV_270,ASV_85,0.025423728813559324,-0.0594420814399916
ASV_270,ASV_512,0.288135593220339,-0.0923894251478031
ASV_270,ASV_642,0.288135593220339,-0.037172967316133
ASV_229,ASV_270,0.3220338983050847,-0.0394950726633679
ASV_128,ASV_270,0.3305084745762712,-0.0383882741702007
ASV_270,ASV_319,0.288135593220339,-0.00510792481339853
ASV_270,ASV_81,0.3559322033898305,-0.0344771356995493
ASV_18,ASV_270,0.3220338983050847,-0.00799654726988136
ASV_270,ASV_9,0.3305084745762712,-0.00596222492726581
ASV_270,ASV_36,0.3050847457627119,-0.0112162351743545
ASV_270,ASV_405,0.2966101694915254,0.154584055672277
ASV_270,ASV_61,0.2966101694915254,0.0629888703360039
ASV_157,ASV_270,0.2966101694915254,0.00158473850865484
ASV_106,ASV_270,0.3644067796610169,0.0508659505106946
ASV_169,ASV_270,0.3644067796610169,0.140362040684
ASV_134,ASV_270,0.3728813559322034,0.111079234966096
ASV_270,ASV_589,0.3220338983050847,0.0526480907518319
ASV_221,ASV_270,0.3389830508474576,0.115802630672386
ASV_270,ASV_277,0.4491525423728814,0.116861579081452
ASV_270,ASV_553,0.2966101694915254,0.0153301537230682
ASV_120,ASV_270,0.2796610169491525,0.171325613662045
ASV_152,ASV_95,0.025423728813559324,0.0104237344354371
ASV_139,ASV_152,0.07627118644067797,0.0927318866729347
ASV_152,ASV_327,0.3220338983050847,-0.0255657659019578
ASV_152,ASV_2,0.2966101694915254,-0.0101522192909393
ASV_152,ASV_446,0.3728813559322034,0.0378964071447936
ASV_152,ASV_69,0.3559322033898305,0.115576740150403
